,message,Polarite
0,"Djou la, t as pa honte avec ta bouche on dirait adjamé la. Maudit la??",-1
1,Allah ka awou démè,1
2,Vive Assim Goïta ,1
3,nin ñe kibaruya dumanye,1
4,baara gnéna,1
5,Allah ka yine anka fama na.,-1
6,Anitié ani baara,1
7,"Ala ka hinɛ an ka kɛlɛ cɛw la minu faatura, ala ka nɔkɔya kɛ banabatɔw ye, 😭😭😭 .' halibi ala ka juwu dɛsɛ k'u fanga ban k'u nagasi 👎👎👎",1
8,Anitié ani baara,1
9,😭😭,-1
10,Allah ka hina  mali finitigi minuw fatura,-1
11,Amina,1
12,Amina,1
13,Amina,1
14,Amiina yarabi,1
15,Amina yarabi,1
16,Thanks you very much sadio kamara,1
17,Amina,1
18,Amina,1
19,Amina,1
20,Fasso,1
21,Amina,1
22,Amina yarabi,1
23,Amina Ini ce ika lase liwla,1
24,Amina ,1
25,Amina,1
26,Amina allah ka dougoaw mine allah mali bo bolola ,1
27,pankurun in bɛ ma jɔli taa,1
28,Nibara yénadé ala ka an dinmé,1
29,Amine,1
30,"Aminé yaraabi, ala ka duwawu minɛ",1
31,Ameen ,1
32,i niche i ka kouna foni na,1
33,Amina,1
34,C'est le début du commencement MALI (FARAFINA)FO SAYA,1
35,on avance seulement,1
36,Vivo mali,1
37,Boubakary Traore  pour votre information...,1
38,"An bi fo kuna foni dili la,ini ce",1
39,Surtout construire les hangars pour mieux les entretenir ,1
40,Abarika Ala yɛ,1
41,Ogne na an bé ankan niama ou fo o la,1
42,An bi fo kounafoni dilila,1
43,Idrissa Mandeka Keita non vraiment Kow bey 🇲🇱 💪🏾 ,1
44,O diyara anw ɲe 👋👋👋,1
45,Félicitations 🇲🇱🇲🇱🇲🇱💯,1
46,Félicitations,1
47,Tare tare,1
48,Gool,1
49,Nous soutenons le trantions 🇲🇱🤝🇷🇺🇲🇱🇷🇺🇲🇱🇷🇺🇲🇱🇷🇺🇲🇱🇷🇺🇲🇱🇷🇺👍👍👍👍 💯 💯 💯,1
50,"OnyanA allakA,malideme ",1
51,Kabako,1
52,Kabakɔ dan,0
53,"ne kɔni fɛ, faransi ka nin bagabagali  kuma ninnu o tɛ sɛ ka malidenw  bɔ u jaa kan.",-1
54,AA nikera kabakoye nɛkajatela faransi detaye mali ye,0
55,Famouyali kèra🤔,1
56,Béka hakilikékeleye,1
57,"ne kɔni hakili la ye farasi ka taakabɔ mali kɔnɔ bi ode dakadi an na, ubɛyan fositɛkabɔ gɛlɛyala",0
58,Bamanankan kanubaw bèè wili k'ijô yasa bamanankan ka don an ka sariya sunba gafela ,1
59,Haali,0
60,I ye tiɲɛ fɔ,1
61,Mun ba jira ko choguel ye cɛ duman ye ?,1
62,O ka kè,1
63,Hatè,1
64,Oui Choguel guérira le Grand Mali avec Assimi Goïta.,1
65,Walaye,1
66,🇲🇱❤🇲🇱,1
67,Lakana Kaka ka sabati,1
68,Fô an ka tubabu kanbô an sariya sunba gafela ka bamanankan don ye  n'o kèra o y'an bôlenye tubabuw ka jonyala,-1
69,Ehe,0
70,Akera baraye,0
71,Kabako,0
72,Hum,0
73,Ognena,1
74,O yé miké à mayi a kado ko sariyaté     malila BÈKI TAKÉ MALIKÔTÉ,-1
75,Alaka anlakana kankisi mogo juguw toroma,0
76,Allah kabo,1
77,O gnena,1
78,O gnena,1
79,O niéna ko sèbè,1
80,Mali djoucou  aye amina  aka fono,-1
81,Seydio Dagnon 😂😂,1
82,La ka tignèn dèmèn,1
83,Allah ka mali dia kosebe ,1
84,O gne n'a,1
85,Oye kunafoli ɲumanye 👏🏾👏🏾👏🏾👏🏾,1
86,Bara ɲɛɲa,1
87,Baara ɲɛna kosɛbɛ.,1
88,Ala ka hinɛ a la,0
89,Ala ka hinɛ a la,0
90,👍,1
91,Anyafamu alakadaminé héréla,1
92,Awo,-1
93,Unba inisu,1
94,O bɛ diya an ye kosɛbɛ.,1
95,"M'ba ni su,  a ya faamu, samiya dona, Ala ka samiya jia",1
96,initchié,1
97,O be diagne,1
98,O diyara an fana ye,1
99,Adiyara an  ye,1
100,O be dia an ye i bisimila,1
101,Allah ka hèrè kè Mali ye,1
102,Ɔ ŋaana,1
103,À gnaina kosaibai,1
104,Allah ka mali kisi a juku ma,1
105,A kèra bara ye,0
106,I farati!,-1
107,Ala k'an dèmè,0
108,halibi ala kan mali suman,-1
109,Amina Yarabi,1
110,Amina yarabi,1
111,AMINA.yarabi,1
112,Amène y'arabi,1
113,Amina yarabi,1
114,Amina  y'arabi,1
115,Amina alah ka dugawuminé,1
116,Amina yarabi,1
117,Ala kahiné. Ala,1
118,Alla ka hine a la yarabi,-1
